tag,replica,regimen,loc,fracTrolls,lambda,rango_final,std_final,median_final,mean_final,prop_neg,median_norm,resid,t_conv,rho_lambdaW,nSCC
n300_trolls0_desconectada_alto_pr_lam0.70,40,desconectada,alto_pr,0,0.7,0.415467029069331,0.0920529290841871,0.538737950916529,0.537623859667322,0,0.538737950916529,8.85425959995523e-07,18,0.7,17
n300_trolls0_desconectada_alto_pr_lam0.70,41,desconectada,alto_pr,0,0.7,0.48543059315015,0.0908022696264214,0.556187396306373,0.55057492824835,0,0.556187396306373,9.60115498105374e-07,18,0.700000000000003,19
n300_trolls0_desconectada_alto_pr_lam0.70,42,desconectada,alto_pr,0,0.7,0.485895728966541,0.0934233041321471,0.55501251800142,0.541184806659668,0,0.55501251800142,9.79944416279466e-07,18,0.700000000000005,15
n300_trolls0_desconectada_alto_pr_lam0.70,43,desconectada,alto_pr,0,0.7,0.404551922339709,0.0902680085607587,0.556345374573475,0.54469416805606,0,0.556345374573475,8.06929326802042e-07,19,0.700000000000004,16
n300_trolls0_desconectada_alto_pr_lam0.70,44,desconectada,alto_pr,0,0.7,0.40638517978805,0.0896054038981393,0.561635894151016,0.553848313452071,0,0.561635894151016,8.234244215366e-07,19,0.700000000000003,20
n300_trolls0_desconectada_alto_pr_lam0.70,45,desconectada,alto_pr,0,0.7,0.43514253067719,0.0902431134000658,0.562599772816491,0.548079466535698,0,0.562599772816491,9.67360820558483e-07,20,0.700000000000007,18
n300_trolls0_desconectada_alto_pr_lam0.70,46,desconectada,alto_pr,0,0.7,0.452648023348095,0.0903327843361562,0.545124552569812,0.537612740213275,0,0.545124552569812,3.70355799694799e-07,19,0.700000000000003,10
n300_trolls0_desconectada_alto_pr_lam0.70,47,desconectada,alto_pr,0,0.7,0.441909908946043,0.0911535212388588,0.566952082163795,0.558951291734115,0,0.566952082163795,7.67881522034664e-07,17,0.700000000000007,13
n300_trolls0_desconectada_alto_pr_lam0.70,48,desconectada,alto_pr,0,0.7,0.440615920983129,0.0911438580446839,0.558958056883532,0.548732325874279,0,0.558958056883532,5.15234286013744e-07,20,0.700000000000004,18
n300_trolls0_desconectada_alto_pr_lam0.70,49,desconectada,alto_pr,0,0.7,0.498339122873324,0.0987767622122575,0.546430467302336,0.536128346309246,0,0.546430467302336,8.96937673022791e-07,19,0.700000000000003,31
n300_trolls0_desconectada_alto_pr_lam0.70,50,desconectada,alto_pr,0,0.7,0.465447515389915,0.0978169187061882,0.549851153074958,0.541084339898822,0,0.549851153074958,8.53403670619812e-07,19,0.700000000000007,17
n300_trolls0_desconectada_bajo_pr_lam0.85,1,desconectada,bajo_pr,0,0.85,0.354931623551633,0.0524528602260592,0.546025967743514,0.548554713474549,0,0.546025967743514,8.7266468618008e-07,77,0.850000000000002,23
n300_trolls0_desconectada_bajo_pr_lam0.85,2,desconectada,bajo_pr,0,0.85,0.267872652935361,0.0485408711621394,0.558083954672606,0.554975297232388,0,0.558083954672606,9.00507938994544e-07,26,0.850000000000001,16
n300_trolls0_desconectada_bajo_pr_lam0.85,3,desconectada,bajo_pr,0,0.85,0.318309057374336,0.0489914863130941,0.567494981839458,0.565177073319939,0,0.567494981839458,8.24435730462092e-07,24,0.850000000000013,17
n300_trolls0_desconectada_bajo_pr_lam0.85,4,desconectada,bajo_pr,0,0.85,0.252127819572038,0.054448510242688,0.538732157780477,0.53887209254669,0,0.538732157780477,6.30431444492707e-07,27,0.850000000000006,22
n300_trolls0_desconectada_bajo_pr_lam0.85,5,desconectada,bajo_pr,0,0.85,0.286523055547941,0.0535660443279171,0.583457171783709,0.580928093272176,0,0.583457171783709,8.2855719174546e-07,29,0.850000000000005,12
n300_trolls0_desconectada_bajo_pr_lam0.85,6,desconectada,bajo_pr,0,0.85,0.253412602686034,0.0502977283267544,0.551682943146963,0.549177125142026,0,0.551682943146963,9.3666556066907e-07,73,0.850000000000002,20
n300_trolls0_desconectada_bajo_pr_lam0.85,7,desconectada,bajo_pr,0,0.85,0.246019338666528,0.0472587867966433,0.53532825542836,0.530209645226153,0,0.53532825542836,8.73546386559454e-07,80,0.850000000000004,17
n300_trolls0_desconectada_bajo_pr_lam0.85,8,desconectada,bajo_pr,0,0.85,0.248652612907193,0.0465097437204455,0.541537431860795,0.536724610256651,0,0.541537431860795,8.98862143328127e-07,30,0.850000000000001,23
n300_trolls0_desconectada_bajo_pr_lam0.85,9,desconectada,bajo_pr,0,0.85,0.276079262396027,0.0471235450316216,0.549961167404731,0.545961459610084,0,0.549961167404731,7.04221366887303e-07,25,0.850000000000013,20
n300_trolls0_desconectada_bajo_pr_lam0.85,10,desconectada,bajo_pr,0,0.85,0.254025718722004,0.0488680415463952,0.535422616671655,0.530465410578798,0,0.535422616671655,7.2951373231156e-07,29,0.850000000000008,13
n300_trolls0_desconectada_bajo_pr_lam0.85,11,desconectada,bajo_pr,0,0.85,0.280842749951445,0.0524131472037314,0.548409863897959,0.544474781414034,0,0.548409863897959,7.16112740550834e-07,25,0.850000000000003,22
n300_trolls0_desconectada_bajo_pr_lam0.85,12,desconectada,bajo_pr,0,0.85,0.283695113580606,0.0566758881672694,0.541263471555874,0.540580596038499,0,0.541263471555874,8.76024956686372e-07,27,0.850000000000011,19
n300_trolls0_desconectada_bajo_pr_lam0.85,13,desconectada,bajo_pr,0,0.85,0.230167147160183,0.0482664882700187,0.569901768833616,0.566240246202245,0,0.569901768833616,5.50003738442051e-07,28,0.850000000000003,13
n300_trolls0_desconectada_bajo_pr_lam0.85,14,desconectada,bajo_pr,0,0.85,0.259147431739692,0.0501106879718871,0.556169910345335,0.55323456134299,0,0.556169910345335,8.70814524378538e-07,26,0.850000000000006,8
n300_trolls0_desconectada_bajo_pr_lam0.85,15,desconectada,bajo_pr,0,0.85,0.233513644272685,0.0469735874137208,0.559054037224913,0.556510596877822,0,0.559054037224913,8.30305351917637e-07,26,0.850000000000008,21
n300_trolls0_desconectada_bajo_pr_lam0.85,16,desconectada,bajo_pr,0,0.85,0.292558772604741,0.0501044201506629,0.546631376152974,0.542755022624406,0,0.546631376152974,6.11614658807547e-07,27,0.850000000000008,22
n300_trolls0_desconectada_bajo_pr_lam0.85,17,desconectada,bajo_pr,0,0.85,0.313794623377761,0.0570528946248431,0.547974185663259,0.544918717616911,0,0.547974185663259,9.23802638497229e-07,77,0.850000000000003,20
n300_trolls0_desconectada_bajo_pr_lam0.85,18,desconectada,bajo_pr,0,0.85,0.235066993861812,0.0476701716725155,0.541855863417716,0.541690738288796,0,0.541855863417716,4.86534793231463e-07,27,0.850000000000004,18
n300_trolls0_desconectada_bajo_pr_lam0.85,19,desconectada,bajo_pr,0,0.85,0.242766395823574,0.0470244211553226,0.565898598238368,0.562734745224939,0,0.565898598238368,9.58293163044743e-07,25,0.850000000000004,22
n300_trolls0_desconectada_bajo_pr_lam0.85,20,desconectada,bajo_pr,0,0.85,0.331409062767358,0.0523863550069597,0.542249829970906,0.541574775995641,0,0.542249829970906,8.7680054233763e-07,69,0.850000000000012,27
n300_trolls0_desconectada_bajo_pr_lam0.85,21,desconectada,bajo_pr,0,0.85,0.284192408597131,0.0529952554353334,0.558535936376764,0.557439394071894,0,0.558535936376764,8.01362595614918e-07,29,0.850000000000006,22
n300_trolls0_desconectada_bajo_pr_lam0.85,22,desconectada,bajo_pr,0,0.85,0.268340401195846,0.0544476300710354,0.556386399128246,0.553462448262417,0,0.556386399128246,5.05180018206541e-07,27,0.850000000000007,21
n300_trolls0_desconectada_bajo_pr_lam0.85,23,desconectada,bajo_pr,0,0.85,0.293243166502314,0.0525901940975576,0.550255638580154,0.544902858660607,0,0.550255638580154,5.03690111564037e-07,29,0.850000000000001,18
n300_trolls0_desconectada_bajo_pr_lam0.85,24,desconectada,bajo_pr,0,0.85,0.2639255224046,0.0490030228091109,0.552238157268943,0.552800718400499,0,0.552238157268943,9.72880145222454e-07,27,0.850000000000007,23
n300_trolls0_desconectada_bajo_pr_lam0.85,25,desconectada,bajo_pr,0,0.85,0.250021963745816,0.049823865578941,0.547393506999756,0.54527934164768,0,0.547393506999756,8.62918330568618e-07,28,0.850000000000003,19
n300_trolls0_desconectada_bajo_pr_lam0.85,26,desconectada,bajo_pr,0,0.85,0.251148058947112,0.0493057442939266,0.565210278249401,0.563307610069558,0,0.565210278249401,7.90593911115245e-07,27,0.850000000000002,12
n300_trolls0_desconectada_bajo_pr_lam0.85,27,desconectada,bajo_pr,0,0.85,0.213264527502948,0.0487557453776346,0.575822100357678,0.569578872247957,0,0.575822100357678,3.41968894868039e-07,26,0.850000000000004,14
n300_trolls0_desconectada_bajo_pr_lam0.85,28,desconectada,bajo_pr,0,0.85,0.271514312324663,0.0510027995146754,0.564496854498689,0.557185665124982,0,0.564496854498689,7.83469296106176e-07,24,0.850000000000009,20
n300_trolls0_desconectada_bajo_pr_lam0.85,29,desconectada,bajo_pr,0,0.85,0.213883040641999,0.0475962765883369,0.528703329570658,0.526457667524739,0,0.528703329570658,6.9644703376559e-07,27,0.850000000000005,14
n300_trolls0_desconectada_bajo_pr_lam0.85,30,desconectada,bajo_pr,0,0.85,0.242872526606454,0.0509959533492583,0.557995342096854,0.559864616108801,0,0.557995342096854,7.1504392462618e-07,26,0.850000000000006,28
n300_trolls0_desconectada_bajo_pr_lam0.85,31,desconectada,bajo_pr,0,0.85,0.249603601476235,0.0488642206279504,0.568451155708192,0.567532886968648,0,0.568451155708192,8.74972889752801e-07,26,0.850000000000008,32
n300_trolls0_desconectada_bajo_pr_lam0.85,32,desconectada,bajo_pr,0,0.85,0.277277151277952,0.0483918318094633,0.548697195803699,0.545529090349449,0,0.548697195803699,7.10862946395885e-07,27,0.850000000000007,8
n300_trolls0_desconectada_bajo_pr_lam0.85,33,desconectada,bajo_pr,0,0.85,0.258475247977447,0.0493209224226626,0.543926932157176,0.543873712780521,0,0.543926932157176,9.33309442063823e-07,35,0.850000000000011,18
n300_trolls0_desconectada_bajo_pr_lam0.85,34,desconectada,bajo_pr,0,0.85,0.222145086383968,0.0473514166884488,0.562891955655703,0.560025520176699,0,0.562891955655703,5.61749777028275e-07,30,0.850000000000006,23
n300_trolls0_desconectada_bajo_pr_lam0.85,35,desconectada,bajo_pr,0,0.85,0.294582981618684,0.0484867715020848,0.544960584386886,0.541709929763001,0,0.544960584386886,5.9916615791078e-07,25,0.850000000000006,28
n300_trolls0_desconectada_bajo_pr_lam0.85,36,desconectada,bajo_pr,0,0.85,0.253264717787321,0.0502121612102313,0.557749215805575,0.558702433110423,0,0.557749215805575,7.49035243607921e-07,47,0.850000000000007,27
n300_trolls0_desconectada_bajo_pr_lam0.85,37,desconectada,bajo_pr,0,0.85,0.268409585225736,0.049737187618401,0.563305769518877,0.562078422430256,0,0.563305769518877,8.25926112613118e-07,30,0.850000000000003,19
n300_trolls0_desconectada_bajo_pr_lam0.85,38,desconectada,bajo_pr,0,0.85,0.251230357627183,0.0462435001141133,0.563130203846207,0.56093232672789,0,0.563130203846207,9.4932336713871e-07,27,0.850000000000001,18
n300_trolls0_desconectada_bajo_pr_lam0.85,39,desconectada,bajo_pr,0,0.85,0.225572272038749,0.0488929584272079,0.530450409994876,0.53181839234242,0,0.530450409994876,5.01446704825881e-07,26,0.850000000000008,16
n300_trolls0_desconectada_bajo_pr_lam0.85,40,desconectada,bajo_pr,0,0.85,0.234548498298839,0.0495056643600777,0.535414292490869,0.536849168470053,0,0.535414292490869,4.99777120799294e-07,25,0.850000000000007,17
n300_trolls0_desconectada_bajo_pr_lam0.85,41,desconectada,bajo_pr,0,0.85,0.281432473866896,0.0483532748114312,0.555091243962067,0.553509076181401,0,0.555091243962067,5.90961410362745e-07,25,0.850000000000003,19
n300_trolls0_desconectada_bajo_pr_lam0.85,42,desconectada,bajo_pr,0,0.85,0.285230562260972,0.0501109841439532,0.545184451819773,0.53782683040901,0,0.545184451819773,8.28685037757015e-07,26,0.850000000000006,15
n300_trolls0_desconectada_bajo_pr_lam0.85,43,desconectada,bajo_pr,0,0.85,0.222252387749968,0.047847660957116,0.54612396373589,0.541527235227579,0,0.54612396373589,7.75106079542454e-07,25,0.850000000000005,16
n300_trolls0_desconectada_bajo_pr_lam0.85,44,desconectada,bajo_pr,0,0.85,0.224184921030705,0.0483897162125401,0.560111141882559,0.558149819060705,0,0.560111141882559,8.85494634506045e-07,26,0.850000000000006,20
